doctor_id,name,specialization,hospital
D2547,Farhan Mohanty,Neurologist,Sahyadri
D2548,Madhav Purohit,Neurologist,Sahyadri
D2549,Jagvi Goda,Dermatologist,Ruby Hall
D2550,Nirja Khurana,Neurologist,Sahyadri
D2551,Finn Chanda,Neurologist,Apollo
D2552,Lakshit Ramachandran,Cardiologist,Manipal
D2553,Chakrika Samra,Cardiologist,Ruby Hall
D2554,Tamanna Solanki,General Physician,Apollo
D2555,Daksh Bera,Neurologist,Manipal
D2556,Theodore Bhatt,Neurologist,Apollo
D2557,Krish Tak,Neurologist,Manipal
D2558,Andrew Chada,Neurologist,Deenanath
D2559,Madhav Nagarajan,Neurologist,Manipal
D2560,Ikshita Kunda,Cardiologist,Deenanath
D2561,Bachittar Tripathi,Radiologist,Fortis
D2562,Ubika Kale,Neurologist,Fortis
D2563,Teerth Seshadri,Cardiologist,Sahyadri
D2564,Diya Kibe,Cardiologist,Apollo
D2565,Elijah Loke,Cardiologist,Manipal
D2566,Hredhaan Devan,Radiologist,Sahyadri
D2567,Hamsini Subramaniam,General Physician,Ruby Hall
D2568,Finn Balay,Radiologist,Apollo
D2569,Dalaja Sunder,Cardiologist,Manipal
D2570,Adweta Chopra,Dermatologist,Apollo
D2571,Dev Natarajan,Neurologist,Manipal
D2572,Kalpit Suri,Cardiologist,Apollo
D2573,Zinal Ganguly,Neurologist,Fortis
D2574,Vanya Kalla,General Physician,Apollo
D2575,Luke Dubey,Neurologist,Apollo
D2576,Faraj Lalla,Cardiologist,Manipal
D2577,Avi Shetty,Cardiologist,Sahyadri
D2578,Abeer Bail,Cardiologist,Apollo
D2579,Lakshit Rajagopalan,General Physician,Fortis
D2580,Amruta Rao,Neurologist,Apollo
D2581,Atharv Hayre,Orthopedic,Deenanath
D2582,Gavin Shere,Radiologist,Apollo
D2583,Dhriti Padmanabhan,General Physician,Manipal
D2584,Chakrika Barad,General Physician,Manipal
D2585,Zarna Sangha,Orthopedic,Manipal
D2586,Anya Rege,Radiologist,Manipal
D2587,Zarna Madan,General Physician,Apollo
D2588,Varenya Iyer,Orthopedic,Ruby Hall
D2589,Yoshita Ramanathan,Neurologist,Deenanath
D2590,Zansi Pant,General Physician,Sahyadri
D2591,Tripti Pandey,Orthopedic,Deenanath
D2592,Bimala Palla,Orthopedic,Manipal
D2593,Arya Grover,Dermatologist,Ruby Hall
D2594,Jagrati Kala,Neurologist,Sahyadri
D2595,Vanya Varughese,Dermatologist,Fortis
D2596,Triya Garg,Radiologist,Ruby Hall
D2597,Xavier Devan,Neurologist,Sahyadri
D2598,Reva Kata,General Physician,Apollo
D2599,Rehaan Murty,Cardiologist,Apollo
D2600,Benjamin Sampath,General Physician,Apollo
D2601,Girish Butala,Neurologist,Ruby Hall
D2602,Ubika Yohannan,Dermatologist,Manipal
D2603,Bhavani Wason,Orthopedic,Apollo
D2604,Peter Bhandari,General Physician,Manipal
D2605,Wishi Kata,Dermatologist,Manipal
D2606,Balvan Sarma,Orthopedic,Manipal
D2607,Wridesh Mahajan,Neurologist,Deenanath
D2608,Caleb Goyal,Cardiologist,Manipal
D2609,Barkha Dugal,Radiologist,Deenanath
D2610,Charvi Walla,Orthopedic,Fortis
D2611,Anjali Master,Neurologist,Ruby Hall
D2612,Chaitaly Sodhi,Cardiologist,Apollo
D2613,Hardik Hora,Dermatologist,Deenanath
D2614,Tanay Khanna,Cardiologist,Deenanath
D2615,Parth Krishnan,Radiologist,Apollo
D2616,Warhi Parmer,Radiologist,Ruby Hall
D2617,Gopal Nigam,Cardiologist,Apollo
D2618,Girik Jhaveri,Cardiologist,Ruby Hall
D2619,Kalpit Gera,Neurologist,Deenanath
D2620,Ayaan Borde,Radiologist,Deenanath
D2621,Lila Pathak,Cardiologist,Sahyadri
D2622,Aayush Sen,Neurologist,Sahyadri
D2623,Megha Barman,General Physician,Ruby Hall
D2624,Hritik Dutta,Orthopedic,Sahyadri
D2625,Alka Sarraf,Neurologist,Apollo
D2626,Ati Pillay,Orthopedic,Manipal
D2627,Anita Muni,Radiologist,Manipal
D2628,Ekansh Ganguly,Cardiologist,Ruby Hall
D2629,Aishani Suri,Dermatologist,Manipal
D2630,Yasti Sur,Orthopedic,Manipal
D2631,Qasim Narang,Dermatologist,Fortis
D2632,Dayita Sha,Cardiologist,Sahyadri
D2633,Vincent Biswas,Orthopedic,Fortis
D2634,Zinal Maharaj,Orthopedic,Deenanath
D2635,Wyatt Sahota,Neurologist,Sahyadri
D2636,Akshay Lal,Neurologist,Deenanath
D2637,Fariq Dave,Radiologist,Ruby Hall
D2638,Arya Pradhan,Orthopedic,Apollo
D2639,Rachit Samra,Dermatologist,Ruby Hall
D2640,Tanveer Sangha,General Physician,Sahyadri
D2641,Fitan Ganesh,Cardiologist,Apollo
D2642,Meghana Cheema,Cardiologist,Apollo
D2643,Ekalinga Badami,Dermatologist,Deenanath
D2644,Qadim Brar,General Physician,Ruby Hall
D2645,Hema Saha,Radiologist,Fortis
D2646,Bhavya Suresh,Orthopedic,Manipal
D2647,Aryan Agate,Neurologist,Deenanath
D2648,Frederick Lanka,General Physician,Manipal
D2649,Vidhi Mall,Dermatologist,Apollo
D2650,Aahana Warrior,Orthopedic,Deenanath
D2651,Shravya Dhar,General Physician,Manipal
D2652,Damini Din,Radiologist,Manipal
D2653,Yashodhara Munshi,Dermatologist,Manipal
D2654,Amaira Vaidya,Radiologist,Manipal
D2655,Divya Solanki,Radiologist,Sahyadri
D2656,Avni Bobal,Radiologist,Manipal
D2657,Ekbal Memon,Dermatologist,Apollo
D2658,Avni Puri,Orthopedic,Fortis
D2659,Mahika Vora,Cardiologist,Deenanath
D2660,Wriddhish Pant,Neurologist,Deenanath
D2661,Yashodhara Ramachandran,Radiologist,Fortis
D2662,Xiti Chopra,Cardiologist,Deenanath
D2663,Jatin Goswami,Radiologist,Manipal
D2664,Chaman Yogi,Neurologist,Sahyadri
D2665,Yashawini Sridhar,Neurologist,Sahyadri
D2666,Lakshmi Gandhi,Cardiologist,Deenanath
D2667,Rayaan Seth,Neurologist,Sahyadri
D2668,Benjamin Kothari,Cardiologist,Fortis
D2669,Zayyan Dhar,Dermatologist,Manipal
D2670,Luke Banik,Radiologist,Fortis
D2671,Harsh Manda,Neurologist,Fortis
D2672,Vidhi Hayre,Neurologist,Fortis
D2673,Anirudh Bora,General Physician,Deenanath
D2674,Dev Raj,Cardiologist,Fortis
D2675,Yutika Pal,Cardiologist,Apollo
D2676,Jason Acharya,Orthopedic,Deenanath
D2677,Yasti Singhal,Orthopedic,Sahyadri
D2678,Yuvraj Johal,Cardiologist,Sahyadri
D2679,Harita Mahajan,General Physician,Sahyadri
D2680,Bina Narasimhan,Radiologist,Sahyadri
D2681,Logan Amble,Cardiologist,Manipal
D2682,Bhavika Arora,General Physician,Fortis
D2683,Chaman Srivastava,Neurologist,Sahyadri
D2684,Nimrat Dara,General Physician,Apollo
D2685,Upma Chatterjee,Orthopedic,Apollo
D2686,Thomas Patil,Cardiologist,Manipal
D2687,Henry Misra,Dermatologist,Fortis
D2688,Kashvi Singh,General Physician,Sahyadri
D2689,Vincent Kapoor,Neurologist,Sahyadri
D2690,Amruta Pal,Cardiologist,Fortis
D2691,Frederick Mangal,Cardiologist,Deenanath
D2692,Anamika Thakkar,Orthopedic,Fortis
D2693,Naveen Reddy,Neurologist,Apollo
D2694,Yadavi Nazareth,Orthopedic,Deenanath
D2695,Anirudh Hayer,General Physician,Deenanath
D2696,Ucchal Bail,General Physician,Ruby Hall
D2697,Imaran Bail,Orthopedic,Manipal
D2698,Omya Patil,Radiologist,Manipal
D2699,Osha Johal,General Physician,Manipal
D2700,Umang Mahal,General Physician,Apollo
D2701,Joshua Patla,Dermatologist,Apollo
D2702,Xavier Grover,Orthopedic,Fortis
D2703,Sudiksha Barad,Dermatologist,Ruby Hall
D2704,Vasana More,Dermatologist,Manipal
D2705,Parth Ranganathan,Dermatologist,Manipal
D2706,Robert Rao,Dermatologist,Ruby Hall
D2707,Teerth Dixit,Dermatologist,Ruby Hall
D2708,Advay Reddy,General Physician,Fortis
D2709,Charles Khanna,General Physician,Manipal
D2710,Yatan Soman,Cardiologist,Ruby Hall
D2711,Chanchal Taneja,Radiologist,Apollo
D2712,Alexander Chawla,Dermatologist,Sahyadri
D2713,Owen Konda,Cardiologist,Fortis
D2714,Reyansh Raja,Radiologist,Apollo
D2715,Baljiwan Sehgal,Cardiologist,Ruby Hall
D2716,Bhavya Ben,Orthopedic,Manipal
D2717,Robert Gandhi,Cardiologist,Deenanath
D2718,Rajata Dayal,Dermatologist,Manipal
D2719,Sai Dixit,Orthopedic,Apollo
D2720,Isaac Sami,Neurologist,Ruby Hall
D2721,Azaan Lal,Cardiologist,Manipal
D2722,Yahvi Prashad,General Physician,Ruby Hall
D2723,Bhavini Rau,General Physician,Manipal
D2724,Shaurya Yohannan,Neurologist,Sahyadri
D2725,Kabir Padmanabhan,Radiologist,Ruby Hall
D2726,Urmi Mani,General Physician,Apollo
D2727,Kiaan Magar,Radiologist,Apollo
D2728,Bhavya Lal,Dermatologist,Sahyadri
D2729,Geetika Purohit,Orthopedic,Apollo
D2730,Dalbir Sengupta,General Physician,Apollo
D2731,Manan Amble,Neurologist,Deenanath
D2732,Ekaja Narayanan,General Physician,Manipal
D2733,Zehaan Pant,General Physician,Ruby Hall
D2734,Manbir Shetty,Dermatologist,Manipal
D2735,Lopa Parsa,Dermatologist,Fortis
D2736,Amara Bhagat,Dermatologist,Fortis
D2737,Samesh Biswas,Radiologist,Manipal
D2738,Avi Parikh,Cardiologist,Sahyadri
D2739,Libni Venkataraman,Dermatologist,Deenanath
D2740,Liam Palla,Cardiologist,Ruby Hall
D2741,Faraj Comar,Radiologist,Ruby Hall
D2742,Vritti Kala,General Physician,Manipal
D2743,Vivaan Pant,Cardiologist,Fortis
D2744,Edhitha Chandran,Radiologist,Manipal
D2745,Radhika Batta,Orthopedic,Apollo
D2746,Charles Anne,Orthopedic,Sahyadri
D2747,Balendra Om,Cardiologist,Fortis
D2748,Banjeet Sahota,General Physician,Apollo
D2749,Ryan Wason,Cardiologist,Sahyadri
D2750,Sanya Barad,Neurologist,Apollo
D2751,Wriddhish Dube,Dermatologist,Sahyadri
D2752,Qadim Bail,General Physician,Fortis
D2753,Elijah Hans,Orthopedic,Deenanath
D2754,Praneel Balasubramanian,Dermatologist,Sahyadri
D2755,Unnati Khosla,General Physician,Ruby Hall
D2756,Advaith Prasad,Dermatologist,Apollo
D2757,Lakshmi Purohit,General Physician,Apollo
D2758,Ojasvi Khalsa,Orthopedic,Ruby Hall
D2759,Lakshmi Nayar,Orthopedic,Fortis
D2760,Siddharth Sem,Orthopedic,Apollo
D2761,Isaac Raj,Dermatologist,Ruby Hall
D2762,Warhi Varghese,Dermatologist,Ruby Hall
D2763,Chaitanya Ravi,Orthopedic,Deenanath
D2764,Irya Jain,Dermatologist,Apollo
D2765,Tristan Dhar,Orthopedic,Manipal
D2766,Azad Zachariah,General Physician,Ruby Hall
D2767,Gabriel Gokhale,General Physician,Deenanath
D2768,Yahvi Edwin,Neurologist,Apollo
D2769,Anusha Samra,Orthopedic,Sahyadri
D2770,Henry Bala,Dermatologist,Ruby Hall
D2771,Baghyawati Sarraf,Dermatologist,Apollo
D2772,Kalpit Mahal,General Physician,Ruby Hall
D2773,Dayamai Dave,Orthopedic,Manipal
D2774,Indali Hari,Dermatologist,Ruby Hall
D2775,Amaira Sarin,Neurologist,Ruby Hall
D2776,Matthew Sachdeva,Neurologist,Fortis
D2777,Chakradhar Amble,Dermatologist,Ruby Hall
D2778,Urishilla Garg,Dermatologist,Manipal
D2779,Dalaja Sama,General Physician,Apollo
D2780,Yuvraj Jain,General Physician,Fortis
D2781,Maya Kapur,Cardiologist,Fortis
D2782,Vritti Shan,Cardiologist,Apollo
D2783,Madhavi Char,Dermatologist,Ruby Hall
D2784,Ranveer Dhaliwal,Neurologist,Sahyadri
D2785,Henry Chakrabarti,General Physician,Ruby Hall
D2786,Faqid Pathak,Radiologist,Apollo
D2787,Tripti Butala,Dermatologist,Apollo
D2788,Qushi Edwin,Radiologist,Fortis
D2789,Charvi Nagar,Radiologist,Fortis
D2790,Neel Chaudhry,General Physician,Deenanath
D2791,Aahana Dhillon,Dermatologist,Manipal
D2792,Aarini Lata,Cardiologist,Manipal
D2793,Krishna Kohli,Dermatologist,Manipal
D2794,Yadavi Lala,Cardiologist,Deenanath
D2795,Ayaan Rama,General Physician,Deenanath
D2796,Jyoti Lanka,Neurologist,Ruby Hall
D2797,Udarsh Prakash,Dermatologist,Manipal
D2798,Anjali Purohit,Orthopedic,Ruby Hall
D2799,Qasim Kala,Radiologist,Sahyadri
D2800,Ekta Dalal,Dermatologist,Fortis
D2801,Simon Soni,Cardiologist,Manipal
D2802,Gunbir Khosla,General Physician,Manipal
D2803,Siddharth Basak,Neurologist,Fortis
D2804,Bina Patel,Neurologist,Deenanath
D2805,Diya Varty,Orthopedic,Ruby Hall
D2806,Tejas Gole,General Physician,Ruby Hall
D2807,William Nanda,Dermatologist,Ruby Hall
D2808,Shaurya Narayan,Radiologist,Sahyadri
D2809,Raagini Buch,Cardiologist,Ruby Hall
D2810,Mitesh Rajagopal,Neurologist,Deenanath
D2811,Yashasvi Rajagopalan,Orthopedic,Sahyadri
D2812,Nimrat Chacko,Orthopedic,Apollo
D2813,Hiral Venkatesh,Orthopedic,Ruby Hall
D2814,Pooja Patla,Cardiologist,Sahyadri
D2815,Ranveer Virk,General Physician,Apollo
D2816,Netra Amble,Cardiologist,Apollo
D2817,Qabil Atwal,Radiologist,Ruby Hall
D2818,Pooja Khosla,Radiologist,Ruby Hall
D2819,Indira Murty,General Physician,Fortis
D2820,Mugdha Sachdeva,Cardiologist,Apollo
D2821,Oscar Ghosh,Dermatologist,Deenanath
D2822,Joshua Mohanty,General Physician,Manipal
D2823,Vedhika Dey,Orthopedic,Ruby Hall
D2824,Parth Venkatesh,Radiologist,Ruby Hall
D2825,Dominic Mutti,Neurologist,Sahyadri
D2826,Gavin Purohit,General Physician,Sahyadri
D2827,Dalbir Prabhu,General Physician,Fortis
D2828,Vedhika Chandra,Cardiologist,Sahyadri
D2829,Samuel Wali,Cardiologist,Sahyadri
D2830,Maya Bhasin,Orthopedic,Fortis
D2831,Nidhi Doctor,General Physician,Deenanath
D2832,Januja Naidu,General Physician,Ruby Hall
D2833,Waida Dyal,Dermatologist,Deenanath
D2834,Yatan Toor,Cardiologist,Apollo
D2835,Anvi Keer,Neurologist,Deenanath
D2836,Jatin Bhargava,Neurologist,Apollo
D2837,Ubika Chandran,Cardiologist,Manipal
D2838,Nimrat Vala,Dermatologist,Manipal
D2839,Abdul Narayan,Dermatologist,Apollo
D2840,Parth Tiwari,Radiologist,Ruby Hall
D2841,Balveer Rout,Orthopedic,Apollo
D2842,Ansh Sarraf,Neurologist,Apollo
D2843,Urvi Banerjee,Dermatologist,Sahyadri
D2844,Mitali Reddy,Orthopedic,Ruby Hall
D2845,Kalpit Saraf,Orthopedic,Sahyadri
D2846,Xalak Ramaswamy,Radiologist,Ruby Hall
D2847,Abeer Batra,Dermatologist,Fortis
D2848,David Kalita,Radiologist,Apollo
D2849,Dhruv Barman,Radiologist,Manipal
D2850,Ekaja Sarin,Orthopedic,Manipal
D2851,Dayamai Kalita,Neurologist,Sahyadri
D2852,Vedant Chakrabarti,Orthopedic,Manipal
D2853,Aayush Badal,Dermatologist,Ruby Hall
D2854,Oliver Narayanan,Neurologist,Manipal
D2855,Sachi Das,General Physician,Fortis
D2856,Varsha Viswanathan,Orthopedic,Sahyadri
D2857,Teerth Upadhyay,Orthopedic,Apollo
D2858,Eshana Seshadri,Neurologist,Deenanath
D2859,Yauvani Modi,Dermatologist,Fortis
D2860,Ishaan Bala,Dermatologist,Sahyadri
D2861,Kavya Chaudhary,General Physician,Manipal
D2862,William Mitra,General Physician,Sahyadri
D2863,Vedika Dua,Radiologist,Ruby Hall
D2864,Aishani Gole,General Physician,Sahyadri
D2865,Jatin Khurana,Radiologist,Fortis
D2866,Falguni Kala,Cardiologist,Ruby Hall
D2867,Finn Shetty,Dermatologist,Apollo
D2868,Chavvi Buch,Cardiologist,Manipal
D2869,Aditya Bassi,Neurologist,Fortis
D2870,Brijesh Radhakrishnan,Cardiologist,Apollo
D2871,Darsh Sen,General Physician,Ruby Hall
D2872,Tanmayi Shanker,Cardiologist,Apollo
D2873,Samarth Gara,Orthopedic,Sahyadri
D2874,Chaaya Nagar,Dermatologist,Fortis
D2875,Rachana Pandey,Radiologist,Sahyadri
D2876,Teerth Ahluwalia,Cardiologist,Fortis
D2877,Daksh Dhar,Neurologist,Deenanath
D2878,Rehaan Randhawa,Dermatologist,Fortis
D2879,Dhriti Kunda,Radiologist,Fortis
D2880,Sarthak Chahal,General Physician,Fortis
D2881,Panini Bhatia,Dermatologist,Fortis
D2882,Amol Khanna,Radiologist,Ruby Hall
D2883,Warhi Bakshi,Radiologist,Manipal
D2884,Abha Saini,Orthopedic,Apollo
D2885,Kamala Loyal,General Physician,Deenanath
D2886,Mohammed Mital,Radiologist,Sahyadri
D2887,Jai Ganguly,Cardiologist,Fortis
D2888,Lipika Sanghvi,Orthopedic,Ruby Hall
D2889,Advika Bhattacharyya,Neurologist,Apollo
D2890,Triya Ganesan,Dermatologist,Sahyadri
D2891,Vincent Parikh,Cardiologist,Deenanath
D2892,Hitesh Bahri,Dermatologist,Deenanath
D2893,Umang Bajwa,Orthopedic,Fortis
D2894,Hiral Nori,General Physician,Deenanath
D2895,Matthew Bedi,Neurologist,Apollo
D2896,Neha Mall,Dermatologist,Apollo
D2897,Tristan Grover,Cardiologist,Manipal
D2898,Bhavna More,Neurologist,Fortis
D2899,Vedika Gaba,Radiologist,Manipal
D2900,Zansi Narayanan,Dermatologist,Sahyadri
D2901,Matthew Dhar,Neurologist,Manipal
D2902,Gabriel Chhabra,Orthopedic,Manipal
D2903,Anvi Rana,General Physician,Deenanath
D2904,Anya Sarin,Neurologist,Ruby Hall
D2905,Advik Ahuja,Dermatologist,Ruby Hall
D2906,Faraj Yadav,Dermatologist,Deenanath
D2907,Siddharth Narasimhan,Dermatologist,Sahyadri
D2908,Pahal Dixit,Cardiologist,Sahyadri
D2909,Adweta Dugar,General Physician,Fortis
D2910,Urvi Dass,Radiologist,Ruby Hall
D2911,Gaurang Sengupta,Neurologist,Sahyadri
D2912,Balveer Borra,Radiologist,Manipal
D2913,Sanaya Suri,Neurologist,Fortis
D2914,Pallavi Wason,Neurologist,Manipal
D2915,Aahana Rao,General Physician,Fortis
D2916,Frederick Kota,Cardiologist,Sahyadri
D2917,Zashil Baral,Neurologist,Ruby Hall
D2918,Tarak Jayaraman,Radiologist,Apollo
D2919,Sai Deshpande,Dermatologist,Manipal
D2920,Libni Garde,Cardiologist,Manipal
D2921,Qasim Thakur,General Physician,Manipal
D2922,Jatin Cherian,Cardiologist,Apollo
D2923,Raagini Chand,Cardiologist,Fortis
D2924,Theodore Prasad,Radiologist,Ruby Hall
D2925,Aarini Gole,Neurologist,Manipal
D2926,Harini Dara,Cardiologist,Manipal
D2927,Janani Sehgal,Orthopedic,Apollo
D2928,Dalaja Seth,Dermatologist,Apollo
D2929,Bakhshi Vala,Orthopedic,Deenanath
D2930,Frederick Ganesan,Orthopedic,Ruby Hall
D2931,Yachana Ramakrishnan,General Physician,Fortis
D2932,Nicholas Divan,Neurologist,Deenanath
D2933,Triveni Modi,Cardiologist,Apollo
D2934,Imaran Konda,Neurologist,Apollo
D2935,Oni Rajan,Cardiologist,Manipal
D2936,Nidra Dani,Cardiologist,Fortis
D2937,Ekantika Banik,General Physician,Sahyadri
D2938,Krisha Ganesan,Cardiologist,Deenanath
D2939,Naksh Pandya,General Physician,Manipal
D2940,Yadavi Mistry,Neurologist,Fortis
D2941,Devika Baria,Cardiologist,Deenanath
D2942,Quincy Bhatia,Dermatologist,Apollo
D2943,Advika Agrawal,Radiologist,Manipal
D2944,Ladli Goel,Neurologist,Ruby Hall
D2945,Leena Parsa,Neurologist,Ruby Hall
D2946,Siya Muni,Cardiologist,Manipal
D2947,Jatin Ganesan,Orthopedic,Apollo
D2948,Rachita Dhar,General Physician,Apollo
D2949,Rachita Bhalla,Cardiologist,Ruby Hall
D2950,Krishna Viswanathan,Orthopedic,Manipal
D2951,Hemal Seth,Orthopedic,Apollo
D2952,Urishilla Sarma,Orthopedic,Sahyadri
D2953,Panini Nair,Neurologist,Fortis
D2954,Nimrat Bhalla,Orthopedic,Deenanath
D2955,Patrick Chakrabarti,General Physician,Apollo
D2956,Qarin Ramachandran,Neurologist,Apollo
D2957,Chandresh Sule,Radiologist,Deenanath
D2958,Zarna Nayak,Neurologist,Fortis
D2959,Lakshmi Garde,General Physician,Deenanath
D2960,Lajita Verma,Dermatologist,Manipal
D2961,Upasna Karan,Dermatologist,Fortis
D2962,Balendra Bedi,Radiologist,Sahyadri
D2963,Wriddhish Bail,Neurologist,Fortis
D2964,Yash Nadkarni,Dermatologist,Fortis
D2965,Umang Chaudhari,Dermatologist,Fortis
D2966,Yashodhara Gill,Radiologist,Deenanath
D2967,Lila Soni,Radiologist,Deenanath
D2968,Meera Oza,Neurologist,Fortis
D2969,Vinaya Gala,General Physician,Apollo
D2970,Qabil Sachdeva,Dermatologist,Deenanath
D2971,Wishi Nazareth,Orthopedic,Fortis
D2972,Irya Saraf,Cardiologist,Manipal
D2973,Mugdha Samra,Radiologist,Apollo
D2974,Hemal Srivastava,Radiologist,Ruby Hall
D2975,Urvashi Kade,Neurologist,Manipal
D2976,Dayamai Kaur,Orthopedic,Apollo
D2977,Bimala Dhillon,Neurologist,Apollo
D2978,Om Parikh,Orthopedic,Manipal
D2979,Harshil Suresh,Neurologist,Sahyadri
D2980,Janani Kanda,General Physician,Deenanath
D2981,William Kari,Radiologist,Manipal
D2982,Indali Pandey,Dermatologist,Deenanath
D2983,Jagrati Yohannan,Orthopedic,Apollo
D2984,Elijah Gala,Cardiologist,Apollo
D2985,Timothy Kibe,Radiologist,Deenanath
D2986,Samarth Vig,General Physician,Apollo
D2987,Dhruv Misra,Cardiologist,Manipal
D2988,Eshana Gokhale,Radiologist,Sahyadri
D2989,Aachal Varkey,Dermatologist,Fortis
D2990,Anirudh De,Radiologist,Deenanath
D2991,Om Narayanan,Orthopedic,Apollo
D2992,Jeevika Mitra,General Physician,Deenanath
D2993,Dayamai Comar,Dermatologist,Apollo
D2994,Samuel Jain,Orthopedic,Fortis
D2995,Megha Setty,Cardiologist,Fortis
D2996,Jatin Sani,Dermatologist,Sahyadri
D2997,Indali Kurian,Dermatologist,Deenanath
D2998,Arjun Bhatia,Cardiologist,Deenanath
D2999,Bhavini Chokshi,Orthopedic,Deenanath
